piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
1977.25,1990.0,831.2,0.422,2.92,2.379,2
1971.08,1975.0,394.4,0.0,2.6,4.998,1
1978.18,1990.0,487.7,0.234,2.69,4.056,2
1985.44,1988.0,343.3,0.0,2.54,5.783,1
1983.57,2000.0,473.16,0.25,2.68,4.192,0
1985.31,1992.0,540.57,0.078,2.73,3.673,0
1977.5,1988.0,1389.17,0.25,3.14,1.424,1
1980.8,1992.0,442.42,0.031,2.65,4.477,0
1977.21,2005.0,510.07,0.094,2.71,3.876,0
1992.97,2005.0,1058.31,0.203,3.02,1.883,2
1980.9,1987.0,407.83,0.0,2.61,4.857,1
1974.73,2024.0,692.86,0.0,2.84,2.85,2
1986.25,1988.0,404.67,0.0,2.61,4.908,2
1981.15,1987.0,435.94,0.0,2.64,4.545,1
1988.16,1990.0,391.78,0.0,2.59,5.075,2
1982.66,1989.0,413.03,0.0,2.62,4.8,1
1981.13,1988.0,1092.62,0.188,3.04,1.813,2
1983.55,1992.0,442.8,0.281,2.65,4.48,0
1981.66,1988.0,421.71,0.0,2.63,4.699,1
1986.78,1992.0,425.54,0.0,2.63,4.669,2
1979.38,1989.0,533.88,0.0,2.73,3.708,1
2003.93,2007.0,385.17,0.0,2.59,5.203,2
1995.38,2002.0,369.05,0.0,2.57,5.407,2
1984.33,1988.0,412.12,0.0,2.62,4.815,2
1996.18,2005.0,381.85,0.0,2.58,5.228,2
1985.61,1993.0,381.66,0.0,2.58,5.203,2
1978.13,1988.0,1001.84,0.219,3.0,1.974,1
1983.04,1988.0,408.67,0.0,2.61,4.852,1
1977.49,1987.0,359.45,0.0,2.56,5.501,1
1978.82,1992.0,535.54,0.125,2.73,3.695,0
1975.79,1991.0,509.01,0.125,2.71,3.882,0
1999.53,2004.0,483.31,0.0,2.68,4.137,2
1978.15,2032.0,535.27,0.094,2.73,3.696,0
1975.63,2004.0,377.4,0.0,2.58,5.235,0
1975.54,1990.0,529.13,0.125,2.72,3.734,0
1991.22,2002.0,384.87,0.0,2.59,5.174,2
1984.31,2006.0,489.73,0.094,2.69,4.052,0
1976.68,1985.0,356.29,0.0,2.55,5.548,1
1983.9,2000.0,460.67,0.094,2.66,4.307,0
1997.63,2004.0,403.83,0.031,2.61,4.947,2
1975.56,1992.0,436.21,0.219,2.64,4.529,0
1975.07,1989.0,467.35,0.031,2.67,4.226,0
2000.14,2005.0,573.64,0.0,2.76,3.487,2
1977.61,2004.0,1480.26,0.125,3.17,1.336,1
1975.26,1990.0,505.33,0.188,2.7,3.909,0
1973.56,1976.0,455.56,0.266,2.66,4.332,2
1980.77,1989.0,618.73,0.156,2.79,3.201,2
1991.42,2000.0,346.06,0.0,2.54,5.755,2
1975.78,1990.0,477.81,0.125,2.68,4.135,0
1976.16,1992.0,391.27,0.0,2.59,5.051,0
1975.98,2020.0,1558.42,0.219,3.19,1.268,1
1974.35,1994.0,517.94,0.031,2.71,3.812,0
1980.89,1993.0,436.85,0.094,2.64,4.535,0
1977.7,1991.0,460.8,0.188,2.66,4.292,0
1980.38,1986.0,386.21,0.0,2.59,5.128,1
1976.04,2048.0,535.71,0.125,2.73,3.689,0
1977.58,1992.0,496.55,0.062,2.7,3.983,0
1978.71,1991.0,1140.99,0.094,3.06,1.734,1
1982.67,2006.0,920.4,0.078,2.96,2.154,2
1984.61,1989.0,448.18,0.0,2.65,4.428,2
1977.96,2001.0,1318.77,0.156,3.12,1.5,2
1977.5,1985.0,408.11,0.0,2.61,4.846,1
1982.99,1987.0,382.42,0.0,2.58,5.185,1
1974.79,1989.0,484.37,0.094,2.69,4.077,0
1979.43,2002.0,530.61,0.094,2.72,3.73,0
1975.23,1991.0,507.03,0.109,2.71,3.896,0
1966.81,1984.0,1245.89,0.438,3.1,1.579,2
1978.48,1993.0,852.36,0.172,2.93,2.321,2
1975.98,1992.0,489.27,0.031,2.69,4.039,2
2012.42,2042.0,1217.93,0.016,3.09,1.652,2
1977.29,1985.0,391.24,0.0,2.59,5.054,1
1973.25,2000.0,443.76,0.156,2.65,4.447,0
1979.77,1991.0,372.85,0.0,2.57,5.31,1
1973.85,1991.0,407.78,0.0,2.61,4.84,0
1987.27,2005.0,454.05,0.0,2.66,4.377,1
1973.57,1984.0,382.04,0.0,2.58,5.166,1
1980.87,1992.0,515.2,0.031,2.71,3.845,0
1983.49,1991.0,399.02,0.0,2.6,4.971,1
1974.63,1986.0,426.25,0.0,2.63,4.633,1
1975.65,1991.0,495.31,0.125,2.69,3.989,0
1978.71,1994.0,607.76,0.125,2.78,3.256,2
1984.25,1993.0,398.02,0.031,2.6,4.985,0
1980.54,1992.0,472.86,0.156,2.67,4.188,0
1977.58,1989.0,420.73,0.0,2.62,4.7,1
1985.43,2002.0,1500.43,0.109,3.18,1.323,2
1977.47,1994.0,564.77,0.031,2.75,3.501,0
1990.68,2023.0,464.68,0.016,2.67,4.284,2
1977.05,1991.0,452.24,0.031,2.66,4.372,0
1982.21,1989.0,344.53,0.0,2.54,5.753,1
1977.01,1993.0,1432.6,0.125,3.16,1.38,1
1980.5,1992.0,537.7,0.156,2.73,3.683,0
1986.06,1993.0,370.96,0.0,2.57,5.354,1
1976.83,1985.0,384.77,0.0,2.59,5.138,2
1990.13,2001.0,533.08,0.016,2.73,3.733,2
1980.82,2002.0,542.61,0.188,2.73,3.651,0
2013.25,2041.0,1260.48,0.234,3.1,1.597,2
1974.82,2007.0,1522.37,0.141,3.18,1.297,1
1973.16,1991.0,498.88,0.188,2.7,3.955,0
1977.38,1992.0,471.82,0.031,2.67,4.191,0
1984.76,1992.0,443.99,0.156,2.65,4.47,0
1979.52,1990.0,326.8,0.0,2.51,6.057,1
1988.52,1991.0,352.55,0.0,2.55,5.64,2
1975.47,1991.0,533.96,0.188,2.73,3.7,0
1976.0,1992.0,469.13,0.0,2.67,4.212,0
1981.38,1987.0,339.68,0.0,2.53,5.833,1
1984.25,2003.0,407.8,0.031,2.61,4.866,0
1977.53,1986.0,434.94,0.0,2.64,4.547,2
1989.91,2019.0,473.26,0.0,2.68,4.205,2
1975.98,1989.0,449.98,0.062,2.65,4.391,0
