piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
1977.01,1988.0,558.71,0.219,2.75,3.539,2
1976.66,1986.0,838.45,0.344,2.92,2.358,3
1960.31,1974.0,1371.9,0.078,3.14,1.429,1
1980.96,1989.0,1545.35,0.094,3.19,1.282,2
1975.63,1986.0,739.4,0.438,2.87,2.672,3
1976.08,1992.0,370.46,0.0,2.57,5.334,0
1973.45,1989.0,1418.75,0.047,3.15,1.391,1
1970.64,1975.0,1466.0,0.062,3.17,1.344,3
1978.24,1991.0,1456.45,0.094,3.16,1.358,2
1977.04,1989.0,1554.64,0.031,3.19,1.272,2
1969.27,1975.0,1456.19,0.078,3.16,1.352,1
1976.38,1987.0,1418.64,0.109,3.15,1.393,2
1972.93,1985.0,1516.82,0.109,3.18,1.301,3
1990.71,2003.0,381.53,0.0,2.58,5.218,1
1977.61,2002.0,534.79,0.203,2.73,3.698,0
1972.57,1989.0,1526.84,0.172,3.18,1.292,1
1989.64,2003.0,418.67,0.062,2.62,4.752,1
1979.69,2000.0,455.22,0.188,2.66,4.349,0
1974.36,1986.0,1427.81,0.062,3.15,1.383,2
1974.77,1991.0,503.68,0.375,2.7,3.921,0
1984.62,2000.0,1622.57,0.047,3.21,1.223,1
1983.59,1991.0,1592.39,0.031,3.2,1.246,1
1980.22,2000.0,541.93,0.094,2.73,3.654,0
1974.54,1987.0,1509.76,0.078,3.18,1.308,2
1969.77,1985.0,1438.36,0.125,3.16,1.369,3
1978.87,1988.0,1647.98,0.016,3.22,1.201,2
1975.74,1988.0,472.65,0.094,2.67,4.18,1
1997.43,2005.0,368.83,0.0,2.57,5.416,1
1984.15,2001.0,1542.19,0.219,3.19,1.287,3
1975.61,1992.0,541.38,0.234,2.73,3.649,0
1975.7,2001.0,1525.43,0.156,3.18,1.295,3
1986.27,1992.0,641.3,0.094,2.81,3.097,1
1988.42,1993.0,1511.77,0.422,3.18,1.315,3
1974.66,1992.0,555.69,0.188,2.74,3.554,0
1973.94,1988.0,1529.34,0.188,3.18,1.291,3
1975.82,1988.0,996.15,0.281,3.0,1.983,3
1981.43,1993.0,562.32,0.391,2.75,3.524,0
1989.67,2000.0,1184.68,0.391,3.07,1.68,3
1981.84,1989.0,1218.64,0.219,3.09,1.626,2
1974.58,1986.0,1472.15,0.125,3.17,1.341,2
1972.46,1986.0,1489.81,0.109,3.17,1.324,2
1979.86,2000.0,530.13,0.281,2.72,3.735,0
1977.55,1989.0,1483.86,0.078,3.17,1.333,2
1973.79,1987.0,1450.72,0.094,3.16,1.361,3
1990.27,2002.0,1506.46,0.125,3.18,1.321,3
1954.32,1969.0,1667.39,0.016,3.22,1.172,1
1973.55,1985.0,1729.0,0.094,3.24,1.141,1
1979.44,1990.0,401.85,0.203,2.6,4.926,2
1982.15,1990.0,277.13,0.062,2.44,7.152,1
1982.98,1992.0,1468.72,0.047,3.17,1.35,2
1976.1,1993.0,514.21,0.312,2.71,3.843,0
1985.85,1992.0,499.85,0.0,2.7,3.973,3
1987.41,1993.0,523.81,0.062,2.72,3.794,1
1973.25,1991.0,539.46,0.188,2.73,3.658,0
1966.44,1975.0,1229.56,0.031,3.09,1.599,1
1974.87,1992.0,655.08,0.188,2.82,3.015,0
1988.0,1992.0,737.75,0.172,2.87,2.695,1
1979.01,1989.0,699.11,0.25,2.84,2.831,3
1986.36,1991.0,469.69,0.141,2.67,4.229,1
1982.71,1993.0,499.55,0.062,2.7,3.969,0
1982.59,1993.0,540.89,0.188,2.73,3.665,0
1985.89,1991.0,718.07,0.062,2.86,2.766,1
2007.0,2018.0,1371.95,0.266,3.14,1.463,3
1985.66,2003.0,1100.77,0.344,3.04,1.804,3
1978.8,1991.0,421.66,0.0,2.62,4.693,3
1976.26,1989.0,911.87,0.266,2.96,2.167,3
1981.9,1992.0,592.19,0.219,2.77,3.347,2
1987.77,2001.0,1992.51,0.047,3.3,0.998,1
1975.15,1989.0,1741.86,0.109,3.24,1.134,1
1985.57,1991.0,432.64,0.031,2.64,4.589,1
1987.6,2002.0,1538.14,0.109,3.19,1.292,3
1976.76,1988.0,380.99,0.031,2.58,5.188,3
1971.86,1985.0,1431.38,0.078,3.16,1.378,2
1974.22,1987.0,1380.19,0.109,3.14,1.43,2
1975.75,1987.0,1588.55,0.016,3.2,1.244,2
1983.83,1993.0,529.61,0.234,2.72,3.746,0
1957.94,1970.0,1915.47,0.109,3.28,1.022,3
1976.57,1988.0,1391.54,0.016,3.14,1.42,2
1984.79,1991.0,1379.71,0.219,3.14,1.439,3
1983.04,1992.0,1271.92,0.047,3.1,1.559,2
1981.54,2005.0,428.78,0.031,2.63,4.621,0
1974.69,1986.0,900.15,0.484,2.95,2.194,3
1978.3,1990.0,812.38,0.297,2.91,2.435,3
1984.76,1993.0,1297.19,0.469,3.11,1.53,2
1959.58,1973.0,1541.56,0.109,3.19,1.271,3
1978.29,1989.0,402.31,0.0,2.6,4.917,2
1983.71,1993.0,1641.27,0.031,3.22,1.209,1
1977.33,1988.0,756.46,0.172,2.88,2.614,2
1970.63,1976.0,301.99,0.109,2.48,6.526,1
1979.22,1991.0,456.29,0.312,2.66,4.338,0
1974.39,1990.0,582.06,0.188,2.76,3.392,0
1978.27,1989.0,281.22,0.219,2.45,7.035,1
1982.8,1993.0,493.79,0.25,2.69,4.015,0
1976.71,1988.0,418.8,0.125,2.62,4.72,3
1985.83,1993.0,1437.9,0.047,3.16,1.381,2
1973.95,1988.0,1681.12,0.109,3.23,1.174,1
1973.13,1987.0,1267.38,0.031,3.1,1.557,2
1988.97,1994.0,1072.35,0.391,3.03,1.855,3
1995.01,2004.0,412.79,0.0,2.62,4.833,1
1983.66,1990.0,629.79,0.0,2.8,3.15,1
1981.16,1994.0,1365.24,0.25,3.14,1.451,3
1973.6,1987.0,1517.08,0.016,3.18,1.301,1
1980.84,1993.0,516.19,0.312,2.71,3.837,0
1983.42,1993.0,503.81,0.219,2.7,3.937,0
1975.24,1989.0,1469.0,0.078,3.17,1.345,2
1982.05,1991.0,575.24,0.062,2.76,3.446,1
1970.35,1980.0,1384.8,0.062,3.14,1.423,2
1972.24,1984.0,1424.2,0.078,3.15,1.385,2
1982.55,1993.0,553.45,0.156,2.74,3.582,0
1980.33,2001.0,547.16,0.266,2.74,3.619,0
1982.99,1990.0,769.81,0.297,2.89,2.576,3
1978.33,2002.0,503.94,0.219,2.7,3.926,0
1976.22,1988.0,1420.0,0.016,3.15,1.392,2
1978.55,1992.0,1435.5,0.047,3.16,1.378,2
1965.83,1973.0,554.29,0.109,2.74,3.547,1
1981.32,1990.0,1472.89,0.047,3.17,1.345,2
1977.01,1989.0,859.89,0.438,2.93,2.299,2
1975.39,1988.0,805.22,0.375,2.91,2.453,3
1968.29,1974.0,1487.99,0.094,3.17,1.323,3
1994.93,2018.0,372.79,0.156,2.57,5.351,1
2002.67,2008.0,1630.78,0.016,3.21,1.228,1
1986.14,2000.0,505.72,0.25,2.7,3.927,0
1977.96,1989.0,1287.76,0.031,3.11,1.536,1
1977.87,1990.0,1274.95,0.453,3.11,1.551,3
1991.56,2004.0,1453.98,0.172,3.16,1.37,2
1982.21,1992.0,666.58,0.375,2.82,2.974,3
1985.77,1991.0,1174.41,0.469,3.07,1.691,2
1987.43,2003.0,1371.67,0.062,3.14,1.449,3
1972.33,1978.0,1577.17,0.156,3.2,1.251,2
1985.28,2001.0,1584.88,0.078,3.2,1.253,1
1983.83,2000.0,504.37,0.266,2.7,3.933,0
1973.61,1985.0,1430.13,0.062,3.16,1.38,2
1978.15,1989.0,714.66,0.375,2.85,2.768,3
1975.33,1989.0,779.47,0.25,2.89,2.534,3
1976.78,1992.0,617.75,0.219,2.79,3.2,0
1982.93,1992.0,1387.2,0.062,3.14,1.429,2
1971.97,1986.0,1514.67,0.125,3.18,1.302,2
1979.82,1991.0,1192.07,0.547,3.08,1.661,3
1992.22,2006.0,1421.0,0.266,3.15,1.402,3
1977.32,1987.0,1155.79,0.312,3.06,1.711,2
1975.41,1989.0,1629.29,0.031,3.21,1.212,1
1974.61,1988.0,924.4,0.297,2.97,2.136,3
1976.18,1988.0,1464.14,0.047,3.17,1.35,2
1976.29,1993.0,556.31,0.172,2.75,3.552,0
1966.63,1975.0,1544.37,0.172,3.19,1.273,3
1974.25,1994.0,456.33,0.156,2.66,4.326,0
1981.43,1993.0,478.74,0.406,2.68,4.139,0
1986.38,1993.0,479.55,0.0,2.68,4.142,1
1984.36,2001.0,478.1,0.312,2.68,4.15,0
1977.55,1993.0,397.95,0.0,2.6,4.969,0
1969.27,1978.0,1437.41,0.109,3.16,1.37,3
1990.69,2004.0,384.24,0.0,2.58,5.181,1
1974.15,1992.0,531.65,0.172,2.73,3.713,0
