piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
1998.59,2007.0,374.04,0.0,2.57,5.343,1
1981.58,2000.0,740.72,0.094,2.87,2.675,3
2040.87,2048.0,1163.88,0.172,3.07,1.753,3
1970.38,1992.0,442.73,0.109,2.65,4.451,3
1985.18,1991.0,528.98,0.125,2.72,3.753,1
1985.24,1992.0,415.54,0.062,2.62,4.777,1
1993.5,2008.0,649.84,0.0,2.81,3.068,3
1977.07,1990.0,745.83,0.141,2.87,2.651,2
1961.49,1972.0,579.9,0.156,2.76,3.382,1
1974.93,1990.0,1197.74,0.125,3.08,1.649,0
1967.98,1992.0,422.16,0.0,2.63,4.662,1
1969.52,2004.0,1213.9,0.234,3.08,1.622,3
1986.94,2003.0,1293.83,0.234,3.11,1.536,3
1988.17,2017.0,476.66,0.094,2.68,4.171,0
1968.55,2000.0,1088.28,0.188,3.04,1.809,3
1982.12,1993.0,969.0,0.156,2.99,2.046,2
1966.47,1986.0,424.75,0.0,2.63,4.63,2
1980.32,2001.0,383.23,0.0,2.58,5.167,0
1990.46,2008.0,561.09,0.062,2.75,3.548,3
1964.49,1975.0,645.95,0.156,2.81,3.041,1
1840.74,1879.0,1194.0,0.172,3.08,1.542,3
1985.21,2002.0,416.51,0.0,2.62,4.766,1
1972.23,2019.0,1058.94,0.188,3.02,1.862,3
1979.78,1992.0,1144.88,0.203,3.06,1.729,2
1978.5,1991.0,754.56,0.141,2.88,2.622,2
1982.81,2005.0,1123.06,0.188,3.05,1.766,2
1988.68,2021.0,405.12,0.0,2.61,4.909,3
1988.33,2002.0,555.75,0.047,2.74,3.578,1
1976.52,1990.0,366.42,0.0,2.56,5.394,2
1979.96,2000.0,716.78,0.109,2.86,2.762,0
1980.92,2022.0,497.24,0.094,2.7,3.984,0
1898.4,1924.0,432.66,0.0,2.64,4.388,3
1998.76,2022.0,273.26,0.219,2.44,7.314,3
1981.14,1992.0,497.53,0.062,2.7,3.982,0
1979.47,1993.0,396.12,0.0,2.6,4.997,2
1981.59,2003.0,860.79,0.172,2.93,2.302,2
1989.11,2000.0,725.57,0.109,2.86,2.741,1
1983.32,1990.0,403.37,0.0,2.61,4.917,1
1964.05,2000.0,890.35,0.141,2.95,2.206,3
1992.35,2020.0,560.42,0.078,2.75,3.555,0
1980.56,2000.0,912.04,0.078,2.96,2.172,2
1972.8,1989.0,353.29,0.0,2.55,5.584,2
1988.7,2019.0,1440.58,0.281,3.16,1.38,1
1983.59,1993.0,986.82,0.141,2.99,2.01,2
1907.06,1926.0,499.01,0.062,2.7,3.822,0
1975.17,1989.0,751.66,0.078,2.88,2.628,2
1985.23,1992.0,254.14,0.125,2.41,7.812,1
1981.12,1990.0,1411.63,0.062,3.15,1.403,2
1980.66,2002.0,1003.4,0.203,3.0,1.974,2
1972.38,1990.0,745.96,0.141,2.87,2.644,2
1961.88,1990.0,381.34,0.0,2.58,5.145,3
1977.16,1988.0,404.13,0.0,2.61,4.892,1
1978.64,1990.0,441.58,0.0,2.65,4.481,2
2008.03,2021.0,412.33,0.0,2.62,4.87,0
2044.73,2048.0,886.43,0.312,2.95,2.307,0
2011.89,2024.0,519.66,0.078,2.72,3.872,0
1977.74,1990.0,377.71,0.0,2.58,5.236,1
1976.93,1990.0,715.46,0.141,2.85,2.763,2
1978.34,2007.0,558.34,0.125,2.75,3.543,3
1999.11,2009.0,581.17,0.125,2.76,3.44,0
1975.75,2004.0,752.85,0.188,2.88,2.624,0
1981.89,2006.0,1324.75,0.234,3.12,1.496,3
1969.41,2007.0,634.04,0.062,2.8,3.106,3
1981.3,1992.0,365.03,0.047,2.56,5.428,2
1975.15,2008.0,1039.03,0.156,3.02,1.901,0
